name,hebrew,population 2019,established,council,name_search,area (dunams),leader_name,leader_title,wikipedia_link,settlement_latitude,settlement_longitude
Adora,אדורה,462,1984,Har Hebron,"Adora, Har Hevron",,,,"https://en.wikipedia.org/wiki/Adora, Har Hevron",31°33′08″N,35°01′08″E
Alei Zahav,עלי זהב,"3,399",1982,Shomron,Alei Zahav,,,,https://en.wikipedia.org/wiki/Alei Zahav,32°4′18.13″N,35°3′51.26″E
Alfei Menashe,אלפי מנשה,"7,952",1983,Shomron,Alfei Menashe,4616,Shy Rosenzweig,Head of Municipality,https://en.wikipedia.org/wiki/Alfei Menashe,32°10′N,35°1′E
Alon Shvut,אלון שבות,"3,098",1970,Gush Etzion,Alon Shvut,,,,https://en.wikipedia.org/wiki/Alon Shvut,31°39′17″N,35°7′40″E
Almog,אלמוג,254,1977,Megilot,Almog,,,,https://en.wikipedia.org/wiki/Almog,31°47′22.91″N,35°27′39.96″E
Almon,עלמון,"1,420",1982,Binyamin,"Almon, Mateh Binyamin",,,,"https://en.wikipedia.org/wiki/Almon, Mateh Binyamin",31°49′54.12″N,35°17′43.44″E
Argaman,ארגמן,132,1968,Bik'at HaYarden,Argaman,,,,https://en.wikipedia.org/wiki/Argaman,32°10′21″N,35°31′19″E
Ariel,אריאל,"20,540",1978,Shomron,Ariel (city),14677,[[Eliyahu Shaviro]],Mayor,https://en.wikipedia.org/wiki/Ariel (city),32°6′21.6″N,35°11′16.43″E
Asfar,מיצד,932,1983,Gush Etzion,Metzad,,,,https://en.wikipedia.org/wiki/Metzad,31°35′9.05″N,35°11′14.05″E
Ateret,עטרת,900,1981,Mateh Binyamin,Ateret,,,,https://en.wikipedia.org/wiki/Ateret,31°59′59″N,35°10′37″E
Avnat,אבנת,237,1983,Megilot,Ovnat,,,,https://en.wikipedia.org/wiki/Ovnat,31°40′45.12″N,35°26′12.47″E
Avnei Hefetz,אבני חפץ,"1,923",1990,Shomron,Avnei Hefetz,,,,https://en.wikipedia.org/wiki/Avnei Hefetz,32°17′5″N,35°4′26″E
Barkan,ברקן,"1,895",1981,Shomron,Barkan,,,,https://en.wikipedia.org/wiki/Barkan,32°6′27″N,35°6′20.51″E
Bat Ayin,בת עין,"1,568",1989,Gush Etzion,Bat Ayin,,,,https://en.wikipedia.org/wiki/Bat Ayin,31°39′26″N,35°6′8″E
Beit Aryeh,בית אריה,"5,253",1981,Shomron,Beit Aryeh-Ofarim,8500,Yehuda Elboim,Head of Municipality,https://en.wikipedia.org/wiki/Beit Aryeh-Ofarim,32°2′7.79″N,35°3′13.68″E
Beit El,בית אל,"5,973",1977,Mateh Binyamin,Beit El,1528,Shay Alon,Head of Municipality,https://en.wikipedia.org/wiki/Beit El,31°56′37.5531″N,35°13′21.1765″E
Beit HaArava,בית הערבה,350,1980,Megilot,Beit HaArava,,,,https://en.wikipedia.org/wiki/Beit HaArava,31°48′29.51″N,35°28′32.87″E
Beit Horon,בית חורון,"1,437",1977,Mateh Binyamin,Beit Horon,,,,https://en.wikipedia.org/wiki/Beit Horon,31°52′36″N,35°7′43″E
Beit Yatir,בית יתיר,550,1983,Har Hebron,Beit Yatir,,,,https://en.wikipedia.org/wiki/Beit Yatir,31°22′00″N,35°06′42″E
Beitar Illit,ביתר עילית,"59,270",1985,Gush Etzion,Beitar Illit,4300,Meir Rubenstein,Mayor,https://en.wikipedia.org/wiki/Beitar Illit,31°41′52″N,35°6′56″E
Beka'ot,בקעות,182,1972,Bik'at HaYarden,Beka'ot,,,,https://en.wikipedia.org/wiki/Beka'ot,32°14′31.68″N,35°27′9.6″E
Brukhin,ברוכין,"1,166",2012,Shomron,Brukhin,,,,https://en.wikipedia.org/wiki/Brukhin,32°4′49.54″N,35°5′10.05″E
Karmei Tzur,כרמי צור,"1,001",1984,Gush Etzion,Karmei Tzur,,,,https://en.wikipedia.org/wiki/Karmei Tzur,31°36′33.2″N,35°6′5.17″E
Carmel,כרמל,437,1981,Har Hebron,"Carmel, Mount Hebron",,,,"https://en.wikipedia.org/wiki/Carmel, Mount Hebron",31°25′54″N,35°10′58″E
Dolev,דולב,"1,448",1983,Mateh Binyamin,Dolev,,,,https://en.wikipedia.org/wiki/Dolev,31°55′33.34″N,35°8′6.64″E
Efrat(a),אפרת,"10,806",1980,Gush Etzion,Efrat,6280,Oded Revivi,Head of Municipality,https://en.wikipedia.org/wiki/Efrat,31°39′28.8″N,35°9′11.16″E
Elazar,אלעזר,"2,459",1975,Gush Etzion,"Elazar, Gush Etzion",,,,"https://en.wikipedia.org/wiki/Elazar, Gush Etzion",31°39′36″N,35°8′31″E
Eli,עלי,"4,415",1984,Mateh Binyamin,"Eli, Mateh Binyamin",,,,"https://en.wikipedia.org/wiki/Eli, Mateh Binyamin",32°4′17.03″N,35°15′55.08″E
Elkana,אלקנה,"3,838",1977,Shomron,Elkana,1148,Asaf Mintzer,Head of Municipality,https://en.wikipedia.org/wiki/Elkana,32°6′35.99″N,35°2′3.48″E
Elon Moreh,אלון מורה,"1,920",1979,Shomron,Elon Moreh,,,,https://en.wikipedia.org/wiki/Elon Moreh,32°14′2.15″N,35°19′52.69″E
Einav,ענב,891,1981,Shomron,Einav,,,,https://en.wikipedia.org/wiki/Einav,32°17′4″N,35°7′34″E
Eshkolot,אשכולות,577,1982,Har Hebron,Eshkolot,,,,https://en.wikipedia.org/wiki/Eshkolot,31°23′27″N,34°54′17″E
Etz Efraim,עץ אפרים,"2,428",1985,Shomron,Etz Efraim,,,,https://en.wikipedia.org/wiki/Etz Efraim,32°7′8.03″N,35°2′47.75″E
Hashmonaim,גני מודיעין,"2,771",1996,Mateh Binyamin,Hashmonaim,,,,https://en.wikipedia.org/wiki/Hashmonaim,31°55′51.65″N,35°1′17.66″E
Geva Binyamin,גבע בנימין,"5,682",1984,Mateh Binyamin,Geva Binyamin,,,,https://en.wikipedia.org/wiki/Geva Binyamin,31°51′0″N,35°16′25.68″E
Gilgal,גלגל,203,1970,Bik'at HaYarden,"Gilgal, Bik'at HaYarden",,,,"https://en.wikipedia.org/wiki/Gilgal, Bik'at HaYarden",31°59′58.81″N,35°26′39.86″E
Gitit,גיתית,504,1973,Bik'at HaYarden,"Gitit, Bik'at HaYarden",,,,"https://en.wikipedia.org/wiki/Gitit, Bik'at HaYarden",32°6′3.82″N,35°23′45.59″E
Giv'at Ze'ev,גבעת זאב,"18,420",1983,Mateh Binyamin,Giv'at Ze'ev,4841,Yossi Avrahami,Head of Municipality,https://en.wikipedia.org/wiki/Giv'at Ze'ev,31°51′51″N,35°10′11″E
Giv'on HaHadasha,גבעון החדשה,"1,067",1980,Mateh Binyamin,Giv'on HaHadasha,,,,https://en.wikipedia.org/wiki/Giv'on HaHadasha,31°50′55.48″N,35°9′27.33″E
Beit Hagai,בית חגי,667,1984,Har Hebron,Beit Hagai,,,,https://en.wikipedia.org/wiki/Beit Hagai,31°29′35″N,35°4′51″E
